,math_score
Bailey High School,77.08367626886145
Cabrera High School,83.09469696969697
Figueroa High School,76.40303738317758
Ford High School,77.36134453781513
Griffin High School,82.0440097799511
Hernandez High School,77.43849493487699
Holden High School,83.78740157480316
Huang High School,77.02725118483413
Johnson High School,77.18785714285714
Pena High School,83.62545454545455
Rodriguez High School,76.85996563573883
Shelton High School,83.42075471698114
Thomas High School,
Wilson High School,83.08557844690966
Wright High School,83.26470588235294
