,reading_score
Bailey High School,81.30315500685872
Cabrera High School,83.67613636363636
Figueroa High School,81.19859813084112
Ford High School,80.63265306122449
Griffin High School,83.36919315403424
Hernandez High School,80.86685962373372
Holden High School,83.67716535433071
Huang High School,81.29028436018957
Johnson High School,81.26071428571429
Pena High School,83.80727272727273
Rodriguez High School,80.99312714776632
Shelton High School,84.12264150943396
Thomas High School,
Wilson High School,83.93977812995246
Wright High School,83.83333333333333
